Gender,Age,Race,Education,Political Affiliation,Political Leaning,Trump,Finances,Fair Elections,Ranked Choice,Woman President,Universal Healthcare,Humanity,America,Trump Reelection,Trump Nuke,War Russia,War China,Next Generation
Male,63,White,Graduate degree,Democrat,Moderate,Strongly Disapprove,Not Very Often,"Yes, somewhat confident",No,Yes,No,No,Yes,Somewhat Likely,Somewhat Likely,No,No,Worse World
Female,54,White,Graduate degree,Democrat,Liberal,Strongly Disapprove,Somewhat Often,No,Yes,Yes,Yes,Yes,Yes,Somewhat Likely,Somewhat Likely,Yes,Yes,Better World
Female,59,White,College degree,Democrat,Liberal,Strongly Disapprove,Somewhat Often,"Yes, somewhat confident",Yes,Yes,No,No,Yes,Not at all likely,Somewhat Likely,Yes,No,Worse World
Male,65,White,College degree,Democrat,Liberal,Strongly Disapprove,Somewhat Often,"Yes, somewhat confident",No,Yes,Yes,Yes,Yes,Not at all likely,Not at all likely,No,No,Better World
Female,67,White,High school or less,Independent,Conservative,Strongly Approve,Very Often,"Yes, very confident",No,No,No,No,No,Very Likely,Not at all likely,No,Yes,Worse World
Female,82,White,High school or less,Independent,Conservative,Strongly Disapprove,Somewhat Often,No,DK/REF,No,No,No,No,Very Likely,Very Likely,No,No,Worse World
Male,55,White,High school or less,Democrat,Liberal,Strongly Disapprove,Very Often,"Yes, very confident",No,Yes,Yes,Yes,Yes,Somewhat Likely,Not at all likely,No,No,Worse World
Female,54,White,High school or less,Republican,Conservative,Strongly Approve,Not Very Often,"Yes, very confident",Yes,Yes,Yes,Yes,Yes,Very Likely,Not at all likely,No,No,Better World
Male,56,Latino,College degree,Independent,Conservative,Strongly Approve,Not Very Often,"Yes, very confident",No,Yes,Yes,Yes,Yes,Very Likely,Not at all likely,No,No,Worse World
Male,62,White,Graduate degree,Republican,Conservative,Strongly Approve,Very Often,"Yes, very confident",No,DK/REF,DK/REF,Yes,Yes,DK/REF,Not at all likely,No,No,DK/REF
Female,55,White,College degree,Independent,Moderate,Somewhat Approve,Not Very Often,"Yes, very confident",Yes,No,No,Yes,Yes,Somewhat Likely,Somewhat Likely,Yes,No,Better World
Female,73,White,Some college,Democrat,Liberal,Strongly Disapprove,Not Very Often,No,No,Yes,No,Yes,Yes,Somewhat Likely,Somewhat Likely,Yes,Yes,Worse World
Male,67,White,High school or less,DK/REF,Liberal,Somewhat Disapprove,Somewhat Often,No,Yes,Yes,No,Yes,Yes,Not at all likely,DK/REF,DK/REF,No,Worse World
Male,64,White,College degree,Democrat,Moderate,Strongly Disapprove,Not Very Often,"Yes, somewhat confident",DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,Somewhat Likely,DK/REF,DK/REF,DK/REF,Worse World
Male,70,White,Graduate degree,Democrat,Liberal,Strongly Disapprove,Not Very Often,"Yes, very confident",No,Yes,Yes,Yes,Yes,Not at all likely,Somewhat Likely,No,No,Better World
Male,73,Black,Graduate degree,Democrat,Conservative,Strongly Disapprove,Very Often,No,Yes,Yes,Yes,No,No,Not at all likely,Very Likely,Yes,Yes,Worse World
Female,62,DK/REF,College degree,Democrat,Moderate,Strongly Disapprove,Somewhat Often,"Yes, somewhat confident",Yes,Yes,No,Yes,Yes,Somewhat Likely,Not at all likely,No,No,Worse World
Male,86,White,Some college,Democrat,Moderate,Somewhat Disapprove,Not Very Often,"Yes, somewhat confident",No,Yes,Yes,DK/REF,Yes,Not at all likely,Somewhat Likely,No,DK/REF,Worse World
Female,53,Latino,College degree,Independent,Conservative,Strongly Approve,Not Very Often,"Yes, very confident",No,No,No,Yes,Yes,Very Likely,Not at all likely,No,No,Better World
Female,71,Latino,Some college,Democrat,Moderate,Strongly Disapprove,Somewhat Often,"Yes, somewhat confident",Yes,Yes,No,Yes,Yes,Not at all likely,Not at all likely,Yes,No,Better World
Female,72,White,Some college,Independent,Moderate,Strongly Approve,Somewhat Often,"Yes, somewhat confident",Yes,Yes,Yes,Yes,Yes,Very Likely,Not at all likely,No,No,Better World
Male,65,Other,Some college,Democrat,Conservative,Strongly Disapprove,Somewhat Often,No,Yes,Yes,Yes,Yes,Yes,Not at all likely,Somewhat Likely,No,Yes,Better World
Female,65,White,College degree,Democrat,DK/REF,DK/REF,Not Very Often,No,Yes,Yes,Yes,Yes,Yes,Not at all likely,Not at all likely,No,No,Worse World
Female,61,White,Some college,Democrat,Moderate,Strongly Approve,Somewhat Often,"Yes, very confident",No,No,Yes,No,No,Somewhat Likely,Not at all likely,Yes,Yes,Worse World
Female,54,White,College degree,DK/REF,Moderate,Somewhat Disapprove,Somewhat Often,No,Yes,Yes,No,Yes,Yes,Not at all likely,Somewhat Likely,No,No,Worse World
Female,78,White,Graduate degree,Independent,Conservative,Strongly Approve,Not Very Often,No,No,No,No,Yes,Yes,Not at all likely,Not at all likely,No,No,Worse World
Female,29,White,College degree,Independent,Liberal,Strongly Disapprove,Somewhat Often,"Yes, very confident",Yes,Yes,No,Yes,Yes,Not at all likely,Somewhat Likely,Yes,No,Better World
Male,55,White,Graduate degree,Independent,Moderate,DK/REF,Somewhat Often,"Yes, very confident",No,Yes,No,Yes,Yes,Not at all likely,Somewhat Likely,No,Yes,Better World
Male,78,White,Graduate degree,Republican,Conservative,Somewhat Approve,Not Very Often,"Yes, very confident",Yes,Yes,No,Yes,Yes,Somewhat Likely,Not at all likely,No,No,Worse World
Male,27,Other,Some college,Republican,Moderate,Somewhat Approve,Not Very Often,"Yes, very confident",Yes,Yes,DK/REF,Yes,Yes,Not at all likely,Not at all likely,No,No,Worse World
Male,55,White,College degree,Independent,Conservative,Somewhat Disapprove,Very Often,"Yes, very confident",No,Yes,DK/REF,Yes,Yes,Not at all likely,Somewhat Likely,No,No,DK/REF
Male,27,White,College degree,Independent,Moderate,Neither approve nor disapprove,Not Very Often,"Yes, very confident",No,DK/REF,DK/REF,Yes,Yes,DK/REF,Not at all likely,DK/REF,No,DK/REF
Male,20,White,Some college,DK/REF,Moderate,Strongly Approve,Not Very Often,"Yes, somewhat confident",Yes,Yes,No,Yes,Yes,Very Likely,Not at all likely,No,No,Worse World
Male,35,Black,Graduate degree,Independent,Liberal,Strongly Disapprove,Very Often,No,Yes,Yes,Yes,Yes,Yes,Not at all likely,Somewhat Likely,Yes,Yes,Worse World
Male,22,Asian,College degree,Democrat,Liberal,Strongly Disapprove,Somewhat Often,No,Yes,Yes,Yes,Yes,Yes,Not at all likely,Not at all likely,No,No,Better World
Male,31,White,High school or less,Independent,Liberal,Strongly Disapprove,Very Often,"Yes, somewhat confident",Yes,Yes,Yes,Yes,Yes,Somewhat Likely,Somewhat Likely,No,No,Worse World
Male,59,White,Graduate degree,Independent,Moderate,Strongly Disapprove,Very Often,"Yes, very confident",No,Yes,No,Yes,Yes,Not at all likely,Not at all likely,DK/REF,DK/REF,Worse World
Male,69,White,College degree,Republican,Conservative,Strongly Approve,Not Very Often,"Yes, very confident",No,No,No,No,Yes,Very Likely,Not at all likely,No,No,Better World
Female,54,White,Some college,Republican,DK/REF,DK/REF,Somewhat Often,No,Yes,Yes,Yes,Yes,Yes,Somewhat Likely,Not at all likely,No,No,DK/REF
Male,62,White,Some college,Republican,Conservative,Strongly Approve,Somewhat Often,"Yes, somewhat confident",No,Yes,No,Yes,Yes,Somewhat Likely,Not at all likely,No,No,Worse World
Female,28,White,Some college,Republican,DK/REF,Strongly Approve,Very Often,"Yes, very confident",Yes,Yes,No,No,No,Very Likely,Not at all likely,No,No,Worse World
Female,44,White,College degree,Republican,Conservative,Somewhat Approve,Very Often,"Yes, very confident",Yes,Yes,No,Yes,Yes,Somewhat Likely,Somewhat Likely,No,No,Better World
Male,60,White,Some college,Republican,Moderate,Strongly Approve,Not Very Often,"Yes, very confident",DK/REF,Yes,Yes,Yes,Yes,Very Likely,Not at all likely,No,No,Better World
Male,53,Latino,College degree,Independent,Conservative,Strongly Approve,Very Often,No,No,DK/REF,No,Yes,Yes,Very Likely,Very Likely,No,No,Better World
Male,24,Latino,College degree,DK/REF,Moderate,Strongly Disapprove,Not Very Often,No,Yes,Yes,Yes,No,No,Not at all likely,Not at all likely,No,No,Better World
Female,25,Other,Some college,Independent,Moderate,Strongly Disapprove,Somewhat Often,No,Yes,No,No,No,No,Very Likely,Very Likely,Yes,Yes,Worse World
Female,72,White,Some college,Democrat,Conservative,Strongly Disapprove,Very Often,"Yes, somewhat confident",No,Yes,Yes,No,Yes,Not at all likely,Somewhat Likely,No,No,Better World
Female,65,White,College degree,Democrat,Liberal,Strongly Disapprove,Very Often,No,Yes,Yes,No,No,Yes,Not at all likely,Not at all likely,No,No,Better World
Female,64,White,Some college,Republican,Conservative,Strongly Approve,Not Very Often,"Yes, somewhat confident",DK/REF,Yes,No,Yes,Yes,Very Likely,Not at all likely,DK/REF,No,Worse World
Male,48,White,Some college,Independent,Conservative,Strongly Approve,Very Often,No,Yes,Yes,No,Yes,Yes,Very Likely,Not at all likely,No,No,Better World
Female,30,DK/REF,Graduate degree,Independent,DK/REF,DK/REF,Not Very Often,"Yes, somewhat confident",Yes,No,Yes,Yes,Yes,Somewhat Likely,Not at all likely,No,No,Worse World
Female,41,White,Graduate degree,Democrat,Moderate,Strongly Disapprove,Somewhat Often,"Yes, very confident",No,Yes,Yes,Yes,Yes,Not at all likely,Not at all likely,No,No,Worse World
Female,66,White,Some college,Independent,Conservative,Somewhat Disapprove,Not Very Often,"Yes, very confident",DK/REF,Yes,No,Yes,Yes,Not at all likely,Not at all likely,No,No,Worse World
Female,21,Latino,College degree,Democrat,Moderate,Somewhat Disapprove,Not Very Often,"Yes, somewhat confident",Yes,Yes,No,No,No,Somewhat Likely,Somewhat Likely,Yes,Yes,Better World
Female,62,Asian,Graduate degree,Democrat,Liberal,Strongly Disapprove,Not Very Often,"Yes, somewhat confident",No,Yes,Yes,Yes,Yes,Not at all likely,Not at all likely,No,No,Better World
Female,19,Latino,Some college,Independent,Moderate,Neither approve nor disapprove,Not Very Often,No,Yes,No,No,Yes,No,Somewhat Likely,Not at all likely,Yes,No,Worse World
Female,62,White,Some college,Republican,Moderate,Strongly Approve,Very Often,"Yes, very confident",Yes,No,No,Yes,Yes,Very Likely,Somewhat Likely,No,No,Better World
Female,44,White,College degree,Independent,Moderate,Strongly Disapprove,Not Very Often,No,Yes,Yes,Yes,Yes,No,Not at all likely,Not at all likely,Yes,No,Worse World
Male,23,Asian,Some college,Democrat,DK/REF,Neither approve nor disapprove,Somewhat Often,"Yes, somewhat confident",Yes,Yes,No,Yes,Yes,Not at all likely,Not at all likely,No,No,Better World
Female,77,White,Graduate degree,Democrat,Liberal,Strongly Disapprove,Not Very Often,"Yes, somewhat confident",Yes,Yes,Yes,Yes,No,Not at all likely,Not at all likely,No,No,Worse World
Male,25,White,High school or less,Independent,Liberal,Strongly Disapprove,Very Often,No,Yes,Yes,Yes,Yes,Yes,Not at all likely,Somewhat Likely,Yes,No,Worse World
Male,62,Asian,Graduate degree,Democrat,Moderate,Strongly Disapprove,Somewhat Often,"Yes, somewhat confident",No,Yes,Yes,No,Yes,Not at all likely,Not at all likely,No,No,Better World
Female,27,White,Graduate degree,Democrat,Moderate,Neither approve nor disapprove,Very Often,No,Yes,Yes,Yes,Yes,No,Somewhat Likely,Somewhat Likely,Yes,Yes,Better World
Female,69,Latino,College degree,Democrat,Liberal,Strongly Disapprove,Not Very Often,No,Yes,Yes,Yes,No,No,Not at all likely,Not at all likely,No,No,Worse World
Male,28,Latino,Some college,Independent,DK/REF,Neither approve nor disapprove,Not Very Often,No,Yes,Yes,No,No,No,Very Likely,Somewhat Likely,DK/REF,DK/REF,Better World
Male,75,White,High school or less,Republican,Conservative,Strongly Approve,Not Very Often,"Yes, somewhat confident",No,Yes,No,No,Yes,Very Likely,Not at all likely,No,No,Better World
Female,66,White,College degree,Republican,Moderate,Strongly Approve,Not Very Often,No,No,Yes,Yes,Yes,Yes,Very Likely,Not at all likely,No,No,Worse World
Female,30,Latino,Some college,Independent,DK/REF,Neither approve nor disapprove,Somewhat Often,"Yes, somewhat confident",No,No,Yes,Yes,Yes,Somewhat Likely,Somewhat Likely,No,No,Better World
Male,51,White,College degree,Republican,Moderate,Strongly Approve,Not Very Often,"Yes, very confident",No,No,No,Yes,Yes,Very Likely,Not at all likely,No,No,Better World
Female,40,White,College degree,Democrat,Liberal,Strongly Disapprove,Somewhat Often,"Yes, somewhat confident",Yes,Yes,Yes,No,No,Not at all likely,Somewhat Likely,No,No,Worse World
Female,44,White,Some college,Independent,Conservative,Strongly Disapprove,Very Often,"Yes, somewhat confident",Yes,Yes,DK/REF,Yes,Yes,Not at all likely,Somewhat Likely,Yes,Yes,Worse World
Male,20,Latino,Some college,Democrat,Moderate,Neither approve nor disapprove,Somewhat Often,"Yes, somewhat confident",Yes,Yes,No,Yes,Yes,Somewhat Likely,Somewhat Likely,No,No,Better World
Female,34,Latino,Some college,Independent,Conservative,Strongly Disapprove,Not Very Often,No,Yes,Yes,No,No,No,Somewhat Likely,Very Likely,No,Yes,Worse World
Male,44,White,Some college,Independent,Moderate,Strongly Disapprove,Not Very Often,No,Yes,Yes,No,Yes,No,Not at all likely,Not at all likely,Yes,Yes,Worse World
Female,47,Black,Some college,Democrat,Moderate,Strongly Disapprove,Not Very Often,"Yes, very confident",Yes,Yes,Yes,No,Yes,Not at all likely,Not at all likely,Yes,Yes,Worse World
Male,52,White,Some college,Republican,Conservative,Strongly Approve,Not Very Often,"Yes, very confident",Yes,Yes,Yes,Yes,Yes,Very Likely,Not at all likely,No,No,Better World
Female,68,White,College degree,Republican,Conservative,Strongly Approve,Somewhat Often,No,No,No,No,No,No,Very Likely,Not at all likely,No,No,Better World
Male,47,White,Graduate degree,Democrat,Moderate,Strongly Disapprove,Very Often,"Yes, very confident",No,Yes,No,Yes,Yes,Not at all likely,Not at all likely,No,No,Better World
Male,30,White,High school or less,Republican,Conservative,Strongly Approve,Somewhat Often,"Yes, very confident",No,Yes,Yes,Yes,Yes,Somewhat Likely,Not at all likely,No,Yes,Worse World
Female,72,White,High school or less,Republican,Moderate,Strongly Approve,Not Very Often,"Yes, somewhat confident",No,Yes,No,DK/REF,Yes,Very Likely,Not at all likely,Yes,No,Worse World
Female,53,Black,Some college,Democrat,Moderate,Neither approve nor disapprove,Very Often,"Yes, somewhat confident",Yes,Yes,Yes,Yes,Yes,Not at all likely,DK/REF,DK/REF,DK/REF,DK/REF
Female,55,Black,Some college,Democrat,Conservative,Neither approve nor disapprove,Very Often,"Yes, somewhat confident",No,No,Yes,No,Yes,Not at all likely,Somewhat Likely,Yes,Yes,Better World
Male,56,White,High school or less,Independent,Moderate,DK/REF,Not Very Often,"Yes, somewhat confident",No,Yes,Yes,Yes,Yes,Somewhat Likely,Not at all likely,No,No,Better World
Male,59,Black,High school or less,Independent,Moderate,Somewhat Approve,Very Often,"Yes, very confident",Yes,Yes,Yes,Yes,Yes,Somewhat Likely,Not at all likely,No,No,Worse World
Female,60,Black,High school or less,Independent,Moderate,DK/REF,Very Often,DK/REF,Yes,Yes,Yes,No,Yes,Somewhat Likely,Somewhat Likely,Yes,Yes,Worse World
Male,74,White,High school or less,Democrat,Moderate,DK/REF,Very Often,"Yes, somewhat confident",DK/REF,No,DK/REF,Yes,Yes,Not at all likely,Not at all likely,Yes,Yes,DK/REF
Female,70,White,High school or less,Republican,Conservative,Strongly Approve,Somewhat Often,DK/REF,Yes,Yes,Yes,No,No,Very Likely,Somewhat Likely,Yes,Yes,Better World
Female,80,White,Some college,Independent,Conservative,Strongly Approve,Not Very Often,"Yes, very confident",Yes,No,Yes,Yes,Yes,Very Likely,Somewhat Likely,No,No,Better World
Female,80,Black,High school or less,Democrat,Conservative,DK/REF,Somewhat Often,No,No,No,Yes,Yes,Yes,Not at all likely,Not at all likely,Yes,No,Worse World
Male,53,White,College degree,Independent,Conservative,Strongly Disapprove,Very Often,"Yes, somewhat confident",DK/REF,Yes,No,Yes,Yes,Not at all likely,Not at all likely,Yes,Yes,Better World
Male,38,White,Some college,Republican,Conservative,Strongly Approve,Very Often,"Yes, very confident",No,Yes,Yes,Yes,Yes,Somewhat Likely,Not at all likely,No,No,Worse World
Male,55,White,College degree,Independent,Moderate,Neither approve nor disapprove,Somewhat Often,No,No,Yes,Yes,Yes,Yes,Somewhat Likely,Not at all likely,No,No,Better World
Female,62,White,Graduate degree,DK/REF,Moderate,Strongly Disapprove,Somewhat Often,"Yes, somewhat confident",Yes,Yes,Yes,Yes,Yes,Not at all likely,Not at all likely,No,No,Better World
Female,63,White,High school or less,DK/REF,DK/REF,Neither approve nor disapprove,Somewhat Often,"Yes, very confident",Yes,Yes,No,Yes,Yes,Somewhat Likely,Not at all likely,No,No,Better World
Female,64,White,College degree,Republican,Conservative,Strongly Approve,Very Often,No,Yes,Yes,No,Yes,No,Very Likely,Somewhat Likely,Yes,Yes,Worse World
Female,60,White,High school or less,Democrat,DK/REF,Strongly Disapprove,Very Often,"Yes, somewhat confident",Yes,Yes,DK/REF,Yes,Yes,Not at all likely,Somewhat Likely,Yes,No,Worse World
Female,65,Latino,High school or less,Democrat,Moderate,Strongly Disapprove,Somewhat Often,"Yes, somewhat confident",Yes,Yes,Yes,No,No,Not at all likely,Somewhat Likely,Yes,DK/REF,Better World
Male,62,White,Some college,Democrat,Moderate,Strongly Disapprove,Not Very Often,No,No,Yes,Yes,No,No,Not at all likely,Very Likely,Yes,Yes,Worse World
Female,70,Black,High school or less,Democrat,Liberal,DK/REF,Not Very Often,No,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF
Female,65,White,Other,Republican,Conservative,Strongly Approve,Very Often,DK/REF,DK/REF,Yes,DK/REF,Yes,Yes,DK/REF,Not at all likely,No,No,DK/REF
Female,84,White,Some college,Democrat,Conservative,Strongly Disapprove,Very Often,No,No,DK/REF,DK/REF,DK/REF,No,Not at all likely,DK/REF,DK/REF,DK/REF,Worse World
Male,50,White,Graduate degree,Republican,Conservative,Neither approve nor disapprove,Not Very Often,"Yes, very confident",DK/REF,DK/REF,DK/REF,Yes,DK/REF,Somewhat Likely,Not at all likely,No,No,DK/REF
Female,36,White,Some college,Republican,Moderate,Somewhat Approve,Not Very Often,"Yes, somewhat confident",Yes,No,No,DK/REF,Yes,Somewhat Likely,Somewhat Likely,Yes,No,Better World
DK/REF,89,White,Some college,DK/REF,DK/REF,DK/REF,Not Very Often,DK/REF,No,Yes,DK/REF,DK/REF,Yes,Not at all likely,DK/REF,DK/REF,DK/REF,DK/REF
Male,57,White,Graduate degree,Democrat,Liberal,Strongly Disapprove,Not Very Often,"Yes, very confident",Yes,Yes,No,Yes,Yes,Somewhat Likely,Somewhat Likely,Yes,No,Worse World
Female,70,White,Some college,Democrat,Moderate,Strongly Disapprove,Very Often,No,Yes,Yes,Yes,No,No,Somewhat Likely,Somewhat Likely,No,No,Worse World
Female,55,White,High school or less,Democrat,Liberal,Strongly Disapprove,Very Often,"Yes, somewhat confident",No,Yes,Yes,Yes,Yes,Not at all likely,Somewhat Likely,Yes,Yes,Worse World
Male,57,White,College degree,Republican,Conservative,Strongly Approve,Not Very Often,No,No,Yes,No,Yes,Yes,Very Likely,Not at all likely,No,No,Better World
Male,45,Black,High school or less,Democrat,Conservative,Strongly Approve,Not Very Often,"Yes, very confident",No,No,No,No,No,Very Likely,Not at all likely,Yes,No,Worse World
Male,56,White,Other,Independent,Moderate,Somewhat Disapprove,Somewhat Often,No,No,Yes,No,No,Yes,Somewhat Likely,Somewhat Likely,Yes,Yes,Better World
Female,56,White,High school or less,Independent,Moderate,DK/REF,Very Often,DK/REF,Yes,Yes,Yes,Yes,Yes,Not at all likely,Very Likely,DK/REF,Yes,Worse World
Female,51,DK/REF,High school or less,DK/REF,DK/REF,DK/REF,Very Often,No,DK/REF,Yes,No,No,No,Not at all likely,Very Likely,Yes,DK/REF,Worse World
Female,65,Black,College degree,Independent,Moderate,Strongly Disapprove,Very Often,No,Yes,Yes,Yes,No,No,Not at all likely,Very Likely,Yes,No,Worse World
Male,56,White,College degree,Republican,Moderate,Somewhat Approve,Not Very Often,"Yes, somewhat confident",No,No,Yes,No,No,DK/REF,DK/REF,Yes,No,DK/REF
Male,58,White,High school or less,Republican,Moderate,Strongly Approve,Somewhat Often,"Yes, very confident",Yes,DK/REF,Yes,Yes,Yes,DK/REF,DK/REF,No,No,Better World
Male,87,White,Some college,DK/REF,DK/REF,Strongly Disapprove,DK/REF,DK/REF,No,Yes,Yes,Yes,No,Not at all likely,Very Likely,No,No,Worse World
Female,62,White,Some college,Republican,Conservative,Strongly Approve,Somewhat Often,"Yes, somewhat confident",No,Yes,No,DK/REF,Yes,Very Likely,Not at all likely,DK/REF,Yes,Worse World
Female,89,Other,College degree,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,Yes,Yes,Yes,Yes,DK/REF,DK/REF,No,No,Worse World
Female,70,White,College degree,Democrat,Moderate,Strongly Disapprove,DK/REF,"Yes, somewhat confident",Yes,Yes,No,Yes,Yes,Not at all likely,Not at all likely,No,No,Better World
Male,49,White,College degree,Democrat,Moderate,Somewhat Approve,Not Very Often,"Yes, very confident",Yes,Yes,No,Yes,Yes,Not at all likely,Not at all likely,No,No,Worse World
Female,52,White,Some college,Republican,Conservative,Strongly Approve,Not Very Often,No,No,No,No,No,No,Very Likely,Somewhat Likely,No,No,Worse World
Female,55,White,High school or less,Democrat,Moderate,Strongly Disapprove,Very Often,No,Yes,Yes,Yes,Yes,Yes,Not at all likely,Somewhat Likely,No,Yes,Worse World
Female,58,White,High school or less,Democrat,DK/REF,Neither approve nor disapprove,Very Often,"Yes, very confident",Yes,Yes,Yes,No,No,Very Likely,Somewhat Likely,Yes,Yes,Better World
Male,76,White,High school or less,Democrat,Moderate,Somewhat Disapprove,Not Very Often,No,Yes,Yes,Yes,Yes,Yes,Not at all likely,Not at all likely,Yes,No,Worse World
Male,25,Black,Some college,Democrat,Liberal,Strongly Disapprove,Very Often,"Yes, somewhat confident",Yes,Yes,Yes,Yes,Yes,Somewhat Likely,Not at all likely,No,No,Better World
Female,65,White,Graduate degree,Independent,Moderate,Somewhat Approve,Very Often,No,Yes,Yes,No,Yes,Yes,Somewhat Likely,Somewhat Likely,No,Yes,Worse World
Female,48,White,College degree,Republican,Moderate,Somewhat Approve,Very Often,"Yes, very confident",Yes,Yes,Yes,Yes,Yes,Very Likely,Not at all likely,No,No,Better World
Male,64,White,Some college,Republican,Conservative,Strongly Approve,Not Very Often,"Yes, very confident",No,No,Yes,Yes,Yes,Very Likely,Not at all likely,No,No,Better World
Male,57,Black,Graduate degree,Independent,Moderate,Strongly Disapprove,Very Often,No,No,Yes,Yes,Yes,Yes,Not at all likely,Not at all likely,No,No,Better World
Male,18,White,High school or less,Democrat,Liberal,DK/REF,Somewhat Often,No,Yes,Yes,Yes,Yes,Yes,Not at all likely,Somewhat Likely,No,No,Better World
Female,68,White,High school or less,DK/REF,DK/REF,Strongly Approve,Not Very Often,No,Yes,Yes,No,Yes,Yes,Somewhat Likely,Not at all likely,No,No,DK/REF
Female,48,Asian,College degree,Democrat,Liberal,Strongly Disapprove,Very Often,"Yes, very confident",No,No,No,Yes,Yes,Somewhat Likely,Somewhat Likely,No,No,Worse World
Male,75,White,College degree,Independent,Moderate,Strongly Approve,Not Very Often,"Yes, very confident",Yes,Yes,No,Yes,Yes,Somewhat Likely,Not at all likely,No,No,Worse World
Female,58,White,College degree,Democrat,Conservative,Neither approve nor disapprove,Not Very Often,"Yes, somewhat confident",Yes,Yes,No,Yes,Yes,Not at all likely,Somewhat Likely,No,No,Worse World
Male,50,White,Graduate degree,Republican,Moderate,Strongly Approve,Not Very Often,"Yes, very confident",Yes,Yes,No,Yes,Yes,Very Likely,Not at all likely,No,No,Better World
Male,63,White,College degree,Independent,Moderate,Strongly Disapprove,DK/REF,"Yes, very confident",No,Yes,No,Yes,DK/REF,Very Likely,Somewhat Likely,No,No,Worse World
Female,39,White,Some college,Democrat,Liberal,Neither approve nor disapprove,Very Often,"Yes, somewhat confident",Yes,Yes,Yes,No,Yes,Somewhat Likely,Not at all likely,Yes,Yes,Worse World
Female,62,Black,High school or less,Democrat,Moderate,Strongly Disapprove,Very Often,No,Yes,Yes,Yes,No,No,Somewhat Likely,Not at all likely,No,No,Worse World
Female,39,Latino,High school or less,Democrat,Liberal,DK/REF,Not Very Often,"Yes, somewhat confident",Yes,Yes,Yes,Yes,Yes,Not at all likely,Very Likely,DK/REF,Yes,Worse World
Male,41,White,High school or less,Independent,Moderate,Neither approve nor disapprove,Very Often,"Yes, very confident",Yes,Yes,Yes,Yes,Yes,Somewhat Likely,Not at all likely,No,No,Better World
Male,69,Latino,College degree,Independent,DK/REF,Somewhat Disapprove,Somewhat Often,No,Yes,Yes,Yes,Yes,Yes,Not at all likely,Not at all likely,No,No,Better World
Female,77,White,High school or less,Republican,Moderate,Strongly Approve,Not Very Often,"Yes, very confident",Yes,No,Yes,Yes,Yes,Very Likely,Very Likely,No,No,Better World
Male,53,Other,College degree,Republican,Conservative,Somewhat Approve,Not Very Often,No,No,Yes,No,Yes,No,Very Likely,Somewhat Likely,No,Yes,Worse World
Female,87,Black,Graduate degree,Democrat,Moderate,Strongly Disapprove,Somewhat Often,"Yes, somewhat confident",DK/REF,Yes,Yes,Yes,Yes,Not at all likely,Somewhat Likely,Yes,No,Better World
Male,37,Black,College degree,Democrat,Moderate,Strongly Disapprove,Not Very Often,"Yes, very confident",Yes,Yes,Yes,No,Yes,Not at all likely,Not at all likely,No,No,Worse World
Female,72,Black,High school or less,DK/REF,Conservative,Strongly Disapprove,Very Often,No,Yes,Yes,Yes,Yes,Yes,Not at all likely,Not at all likely,No,No,Worse World
